"id","adr_province_id","adr_district_id","adr_commune_id","code","name_kh","name_en","reference","created_at","updated_at","deleted_at"
"1","1","1","1","1020101","អូរធំ","Ou Thum","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"2","1","1","1","1020102","ភ្នំ","Phnum","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"3","1","1","1","1020103","បន្ទាយនាង","Banteay Neang","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"4","1","1","1","1020104","គោកព្នៅ","Kouk Pnov","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"5","1","1","1","1020105","ត្រាង","Trang","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"6","1","1","1","1020106","ពង្រ","Pongro","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"7","1","1","1","1020107","គោកទន្លាប់","Kouk Tonloab","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"8","1","1","1","1020108","ត្របែក","Trabaek","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"9","1","1","1","1020109","ឃីឡិក","Khilek","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"10","1","1","1","1020110","សំរោងពេន","Samraong Pen","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"11","1","1","1","1020111","ដងរុនលិច","Dang Run Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"12","1","1","1","1020112","ដងរុនកើត","Dang Run Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"13","1","1","1","1020113","អូរស្ងួត","Ou Snguot","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"14","1","1","1","1020114","ព្រៃចង្ហាលិច","Prey Changha Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"15","1","1","1","1020115","ព្រៃចង្ហាកើត","Prey Changha Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"16","1","1","1","1020116","អូរអណ្ដូងលិច","Ou Andoung Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"17","1","1","1","1020117","អូរអណ្ដូងកណ្ដាល","Ou Andoung Kandal","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"18","1","1","1","1020118","អូរអណ្ដូងកើត","Ou Andoung Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"19","1","1","1","1020119","គោកក្ដួច","Kouk Kduoch","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"20","1","1","2","1020201","ខ្ទុម្ពរាយលិច","Khtum Reay Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"21","1","1","2","1020202","ខ្ទុម្ពរាយកើត","Khtum Reay Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"22","1","1","2","1020203","អន្លង់ថ្ងាន់កើត","Anlong Thngan Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"23","1","1","2","1020204","អន្លង់ថ្ងាន់លិច","Anlong Thngan Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"24","1","1","2","1020205","បង់បត់លិច","Bang Bat Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"25","1","1","2","1020206","បង់បត់កើត","Bang Bat Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"26","1","1","2","1020207","បត់ត្រង់","Bat Trang","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"27","1","1","2","1020208","បត់ត្រង់ធំលិច","Bat Trang Thum Lech","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"28","1","1","2","1020209","បត់ត្រង់ធំកើត","Bat Trang Thum Kaeut","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
"29","1","1","2","1020210","បត់ត្រង់តូច","Bat Trang Touch","","2024-02-20 16:34:17","2024-02-20 16:34:17",""
